Sponsors,State,Number,Count
Darren Thorne,West Virginia,['HB3176'],1
Daryl Abbas,New Hampshire,['SB272'],1
Dave Deyoe,Iowa,['HF2'],1
Dave LaRock,Virginia,"[""HB1387'"", ""'HB2432""]",2
Dave Murman,Nebraska,"[""LB371'"", ""'LB810""]",2
Dave Rowley,Iowa,"[""SF83'"", ""'SF110""]",2
Dave Testerman,New Hampshire,['HB417'],1
David Abbott,Indiana,['HB1231'],1
David Adkins,West Virginia,['HB2007'],1
David Alcos,Hawaii,['HB291'],1
David Bullard,Oklahoma,"[""HB2186'"", ""'SB129'"", ""'SB408'"", ""'HB2177'"", ""'SB613'"", ""'SB866""]",6
David Clemens,North Dakota,"[""SB2199'"", ""'SB2199'"", ""'HB1139'"", ""'HB1254'"", ""'HB1297""]",5
David Cook,Texas,"[""HB1155'"", ""'HB1686'"", ""'HB23'"", ""'HB3164""]",4
David Friess,Illinois,['HB1562'],1
David Hale,Kentucky,"[""HB470'"", ""'HB173'"", ""'HB177'"", ""'HB30""]",4
David Hardin,Oklahoma,['SB613'],1
David Hawk,Tennessee,"[""HB0001'"", ""'HB0009""]",2
David Kull,South Dakota,['HB1080'],1
David Kustoff,US,['HB5'],1
David Love,New Hampshire,['HB619'],1
David Northrup,Wyoming,['HB0187'],1
David O'Neal,South Carolina,"[""H3485'"", ""'H3551'"", ""'H3551'"", ""'H3616""]",4
David Ray,Arkansas,['SB294'],1
David Rouzer,US,['HB5'],1
David Rowe,Pennsylvania,['HB138'],1
David Rust,North Dakota,['HB1139'],1
David Smith,Oregon,"[""HB2186'"", ""'SB749'"", ""'SB897""]",3
David Spiller,Texas,"[""HB1155'"", ""'HB122'"", ""'HB1686'"", ""'HB23'"", ""'HB3164'"", ""'HB41'"", ""'HB888'"", ""'HB3902""]",8
David Valadao,US,['HB5'],1
David Vaughan,South Carolina,"[""H3197'"", ""'H3551'"", ""'H3551""]",3
David Wallace,Arkansas,"[""SB270'"", ""'SB294""]",2
David Willis,North Carolina,['H43'],1
David Zimmerman,Pennsylvania,['HB138'],1
Dawn Keefer,Pennsylvania,['HB138'],1
Dawn White,Tennessee,['SB0001'],1
DeAnna Hodges,Arkansas,"[""HB1156'"", ""'SB43""]",2
Dean Black,Florida,"[""H0991'"", ""'H1223'"", ""'H1421'"", ""'H1521""]",4
Dean Davis,Oklahoma,['HB1947'],1
Dean Fisher,Iowa,"[""HF2'"", ""'HF290""]",2
Dean Jeffries,West Virginia,['HB3097'],1
Deanna Frazier Gordon,Kentucky,"[""HB470'"", ""'HB177""]",2
Debbie Lesko,US,"[""HB734'"", ""'HR115'"", ""'HB1399'"", ""'HB5""]",4
Debra DeSimone,New Hampshire,['HB396'],1
Debra Moody,Tennessee,"[""HB0001'"", ""'HB0009'"", ""'HB0030'"", ""'HB0878""]",4
Delia Haak,Arkansas,"[""SB294'"", ""'SB43""]",2
Denise Hader,Oklahoma,"[""HB1449'"", ""'HB2177""]",2
Denise Ricciardi,New Hampshire,['SB272'],1
