,State,Abbreviation,Number,URL
296,Texas,TX,HB319,https://legiscan.com/TX/bill/HB319/2023
297,Texas,TX,HB41,https://legiscan.com/TX/bill/HB41/2023
298,Texas,TX,HB42,https://legiscan.com/TX/bill/HB42/2023
299,Texas,TX,HB436,https://legiscan.com/TX/bill/HB436/2023
300,Texas,TX,HB631,https://legiscan.com/TX/bill/HB631/2023
301,Texas,TX,HB643,https://legiscan.com/TX/bill/HB643/2023
302,Texas,TX,HB672,https://legiscan.com/TX/bill/HB672/2023
303,Texas,TX,HB708,https://legiscan.com/TX/bill/HB708/2023
304,Texas,TX,HB776,https://legiscan.com/TX/bill/HB776/2023
305,Texas,TX,HB888,https://legiscan.com/TX/bill/HB888/2023
306,Texas,TX,SB1029,https://legiscan.com/TX/bill/SB1029/2023
307,Texas,TX,SB162,https://legiscan.com/TX/bill/SB162/2023
308,Texas,TX,SB249,https://legiscan.com/TX/bill/SB249/2023
309,Texas,TX,SB250,https://legiscan.com/TX/bill/SB250/2023
310,Texas,TX,SB393,https://legiscan.com/TX/bill/SB393/2023
311,Texas,TX,SB476,https://legiscan.com/TX/bill/SB476/2023
312,Texas,TX,SB625,https://legiscan.com/TX/bill/SB625/2023
313,Texas,TX,SB649,https://legiscan.com/TX/bill/SB649/2023
314,Texas,TX,SCR3,https://legiscan.com/TX/bill/SCR3/2023
315,Texas,TX,SB1082,https://legiscan.com/TX/bill/SB1082/2023
316,Texas,TX,HB2722,https://legiscan.com/TX/bill/HB2722/2023
317,US,US,HB216,https://legiscan.com/US/bill/HB216/2023
318,US,US,HB429,https://legiscan.com/US/bill/HB429/2023
319,US,US,HR115,https://legiscan.com/US/bill/HR115/2023
320,US,US,SB187,https://legiscan.com/US/bill/SB187/2023
321,US,US,SR53,https://legiscan.com/US/bill/SR53/2023
322,US,US,SB457,https://legiscan.com/US/bill/SB457/2023
323,US,US,HB734,https://legiscan.com/US/bill/HB734/2023
324,Utah,UT,HB0132,https://legiscan.com/UT/bill/HB0132/2023
325,Utah,UT,HB0228,https://legiscan.com/UT/bill/HB0228/2023
326,Utah,UT,HB0329,https://legiscan.com/UT/bill/HB0329/2023
327,Utah,UT,SB0016,https://legiscan.com/UT/bill/SB0016/2023
328,Utah,UT,SB0093,https://legiscan.com/UT/bill/SB0093/2023
329,Utah,UT,SB0100,https://legiscan.com/UT/bill/SB0100/2023
330,Utah,UT,SB0283,https://legiscan.com/UT/bill/SB0283/2023
331,Vermont,VT,H0183,https://legiscan.com/VT/bill/H0183/2023
332,Virginia,VA,HB1387,https://legiscan.com/VA/bill/HB1387/2023
333,Virginia,VA,HB1399,https://legiscan.com/VA/bill/HB1399/2023
334,Virginia,VA,HB1707,https://legiscan.com/VA/bill/HB1707/2023
335,Virginia,VA,HB2432,https://legiscan.com/VA/bill/HB2432/2023
336,Virginia,VA,SB1186,https://legiscan.com/VA/bill/SB1186/2023
337,Virginia,VA,SB1203,https://legiscan.com/VA/bill/SB1203/2023
338,Virginia,VA,SB791,https://legiscan.com/VA/bill/SB791/2023
339,Virginia,VA,SB911,https://legiscan.com/VA/bill/SB911/2023
340,Virginia,VA,SB960,https://legiscan.com/VA/bill/SB960/2023
341,Virginia,VA,SB962,https://legiscan.com/VA/bill/SB962/2023
342,Washington,WA,HB1214,https://legiscan.com/WA/bill/HB1214/2023
343,Washington,WA,HB1233,https://legiscan.com/WA/bill/HB1233/2023
344,West Virginia,WV,HB2007,https://legiscan.com/WV/bill/HB2007/2023
345,West Virginia,WV,HB2125,https://legiscan.com/WV/bill/HB2125/2023
346,West Virginia,WV,HB2923,https://legiscan.com/WV/bill/HB2923/2023
347,West Virginia,WV,HB2972,https://legiscan.com/WV/bill/HB2972/2023
348,West Virginia,WV,HB2998,https://legiscan.com/WV/bill/HB2998/2023
349,West Virginia,WV,HB3001,https://legiscan.com/WV/bill/HB3001/2023
350,West Virginia,WV,HB3097,https://legiscan.com/WV/bill/HB3097/2023
351,West Virginia,WV,HB3176,https://legiscan.com/WV/bill/HB3176/2023
352,West Virginia,WV,HB3183,https://legiscan.com/WV/bill/HB3183/2023
353,West Virginia,WV,SB103,https://legiscan.com/WV/bill/SB103/2023
354,West Virginia,WV,SB252,https://legiscan.com/WV/bill/SB252/2023
355,West Virginia,WV,SB278,https://legiscan.com/WV/bill/SB278/2023
356,West Virginia,WV,SB517,https://legiscan.com/WV/bill/SB517/2023
357,West Virginia,WV,SB692,https://legiscan.com/WV/bill/SB692/2023
358,West Virginia,WV,SB697,https://legiscan.com/WV/bill/SB697/2023
359,Wisconsin,WI,SB4,https://legiscan.com/WI/bill/SB4/2023
360,Wyoming,WY,HB0187,https://legiscan.com/WY/bill/HB0187/2023
361,Wyoming,WY,HB0234,https://legiscan.com/WY/bill/HB0234/2023
362,Wyoming,WY,SF0111,https://legiscan.com/WY/bill/SF0111/2023
363,Wyoming,WY,SF0117,https://legiscan.com/WY/bill/SF0117/2023
364,Wyoming,WY,SF0133,https://legiscan.com/WY/bill/SF0133/2023
365,Wyoming,WY,SF0144,https://legiscan.com/WY/bill/SF0144/2023
366,Wyoming,WY,SF0159,https://legiscan.com/WY/bill/SF0159/2023
