,State,Abbreviation,Number,URL,Bill ID,Doc ID,Bill Text
282,Tennessee,TN,SB1237,https://legiscan.com/TN/bill/SB1237/2023,1688754,,
283,Tennessee,TN,SB1440,https://legiscan.com/TN/bill/SB1440/2023,1690945,,
284,Texas,TX,HB1029,https://legiscan.com/TX/bill/HB1029/2023,1639196,,
285,Texas,TX,HB1155,https://legiscan.com/TX/bill/HB1155/2023,1641417,,
286,Texas,TX,HB122,https://legiscan.com/TX/bill/HB122/2023,1632554,,
287,Texas,TX,HB1266,https://legiscan.com/TX/bill/HB1266/2023,1653418,,
288,Texas,TX,HB1532,https://legiscan.com/TX/bill/HB1532/2023,1675498,,
289,Texas,TX,HB1541,https://legiscan.com/TX/bill/HB1541/2023,1676235,,
290,Texas,TX,HB1686,https://legiscan.com/TX/bill/HB1686/2023,1682140,,
291,Texas,TX,HB1752,https://legiscan.com/TX/bill/HB1752/2023,1683641,,
292,Texas,TX,HB1952,https://legiscan.com/TX/bill/HB1952/2023,1696022,,
293,Texas,TX,HB2116,https://legiscan.com/TX/bill/HB2116/2023,1701690,,
294,Texas,TX,HB23,https://legiscan.com/TX/bill/HB23/2023,1632709,,
295,Texas,TX,HB319,https://legiscan.com/TX/bill/HB319/2023,1633160,,
296,Texas,TX,HB41,https://legiscan.com/TX/bill/HB41/2023,1632603,,
297,Texas,TX,HB42,https://legiscan.com/TX/bill/HB42/2023,1632625,,
298,Texas,TX,HB436,https://legiscan.com/TX/bill/HB436/2023,1633139,,
299,Texas,TX,HB631,https://legiscan.com/TX/bill/HB631/2023,1633284,,
300,Texas,TX,HB643,https://legiscan.com/TX/bill/HB643/2023,1632815,,
301,Texas,TX,HB672,https://legiscan.com/TX/bill/HB672/2023,1632618,,
302,Texas,TX,HB708,https://legiscan.com/TX/bill/HB708/2023,1633387,,
303,Texas,TX,HB776,https://legiscan.com/TX/bill/HB776/2023,1633823,,
304,Texas,TX,HB888,https://legiscan.com/TX/bill/HB888/2023,1637198,,
305,Texas,TX,SB1029,https://legiscan.com/TX/bill/SB1029/2023,1713329,,
306,Texas,TX,SB162,https://legiscan.com/TX/bill/SB162/2023,1632730,,
307,Texas,TX,SB249,https://legiscan.com/TX/bill/SB249/2023,1634103,,
308,Texas,TX,SB250,https://legiscan.com/TX/bill/SB250/2023,1634122,,
309,Texas,TX,SB393,https://legiscan.com/TX/bill/SB393/2023,1655824,,
310,Texas,TX,SB476,https://legiscan.com/TX/bill/SB476/2023,1663682,,
311,Texas,TX,SB625,https://legiscan.com/TX/bill/SB625/2023,1683132,,
312,Texas,TX,SB649,https://legiscan.com/TX/bill/SB649/2023,1684606,,
313,Texas,TX,SCR3,https://legiscan.com/TX/bill/SCR3/2023,1634117,,
314,Texas,TX,SB1082,https://legiscan.com/TX/bill/SB1082/2023,1717754,,
315,Texas,TX,HB2722,https://legiscan.com/TX/bill/HB2722/2023,1719589,,
